af,aggregator_client_id,auto_topup,auto_topup_prb_days_off,auto_topup_prb_similarity,cookies,creation_time,credits_per_result,default_client_subnet,description,estimated_results_per_day,group,group_id,id,in_wifi_group,include_abuf,include_qbuf,interval,is_all_scheduled,is_oneoff,is_public,participant_count,port,prepend_probe_id,probes_requested,probes_scheduled,protocol,query_argument,query_class,query_type,resolve_on_probe,resolved_ips,result,retry,set_ad_bit,set_cd_bit,set_do_bit,set_nsid_bit,set_rd_bit,spread,start_time,stop_time,tags,target,target_asn,target_ip,target_prefix,target_update_hours,target_update_last,timeout,tls,ttl,type,udp_payload_size,use_macros,use_probe_resolver,status.name,status.id,status.when,label
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994466,False,True,,,True,True,True,1,,,0,1,UDP,test6.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994466/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994467,False,True,,,True,True,True,1,,,0,1,UDP,test7.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994467/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994468,False,True,,,True,True,True,1,,,0,1,UDP,test8.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994468/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994469,False,True,,,True,True,True,1,,,0,1,UDP,test9.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994469/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994470,False,True,,,True,True,True,1,,,0,1,UDP,test10.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994470/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994471,False,True,,,True,True,True,1,,,0,1,UDP,test11.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994471/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994472,False,True,,,True,True,True,1,,,0,1,UDP,test12.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994472/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994473,False,True,,,True,True,True,1,,,0,1,UDP,test13.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994473/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994474,False,True,,,True,True,True,1,,,0,1,UDP,test14.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994474/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994475,False,True,,,True,True,True,1,,,0,1,UDP,test15.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994475/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994476,False,True,,,True,True,True,1,,,0,1,UDP,test16.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994476/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
4,,False,7,0.5,,1770701009,20,,"[Hydra DNS] {""algorithm"": ""P256_FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB-10-02""}",1,https://atlas.ripe.net/api/v2/measurements/groups/153994459/,153994459,153994477,False,True,,,True,True,True,1,,,0,1,UDP,test17.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/153994477/results/,0,,,,True,True,,1770701009,1770701340,[],15.134.173.185,16509,15.134.173.185,15.134.0.0/16,0,,5000,,,dns,1232,,,Stopped,4,1770701340,MB-10-02
