fw,mver,lts,dst_addr,dst_port,af,src_addr,proto,msm_id,prb_id,timestamp,msm_name,from,type,group_id,stored_timestamp,result.rt,result.size,result.abuf,result.ID,result.ANCOUNT,result.QDCOUNT,result.NSCOUNT,result.ARCOUNT,algorithm,strategy,label
5080,2.6.2,48,15.134.173.185,53,4,192.168.210.44,UDP,152678056,21789,1770095573,Tdig,203.119.77.136,dns,152678056,1770095575,14.424,69,PAqAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,15370,0,1,1,1,FALCON512,QBF,MB3
5080,2.6.2,11,15.134.173.185,53,4,192.168.5.118,UDP,152678056,33343,1770095573,Tdig,202.80.145.214,dns,152678056,1770095576,9.355,48,uzGAggABAAAAAAABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAKQTQAAAAAAAA,47921,0,1,0,1,FALCON512,QBF,MB3
5080,2.6.2,48,15.134.173.185,53,4,192.168.210.44,UDP,152678057,21789,1770095573,Tdig,203.119.77.136,dns,152678056,1770095575,14.113,69,o3mAgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,41849,0,1,1,1,FALCON512,QBF,MB3
5080,2.6.2,11,15.134.173.185,53,4,192.168.5.118,UDP,152678057,33343,1770095573,Tdig,202.80.145.214,dns,152678056,1770095576,8.979,48,+D+AggABAAAAAAABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAKQTQAAAAAAAA,63551,0,1,0,1,FALCON512,QBF,MB3
