fw,mver,lts,dst_addr,dst_port,af,src_addr,proto,msm_id,prb_id,timestamp,msm_name,from,type,group_id,stored_timestamp,result.rt,result.size,result.abuf,result.ID,result.ANCOUNT,result.QDCOUNT,result.NSCOUNT,result.ARCOUNT,algorithm,strategy,label
5080,2.6.2,34,15.134.173.185,53,4,117.120.46.25,UDP,152680041,25079,1770096633,Tdig,117.120.46.25,dns,152680041,1770096635,14.742,69,Lh+AgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,11807,0,1,1,1,FALCON512,QBF,MB3
5080,2.6.2,43,15.134.173.185,53,4,10.123.4.21,UDP,152680041,60764,1770096633,Tdig,157.211.20.241,dns,152680041,1770096635,17.431,69,L9iAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,12248,0,1,1,1,FALCON512,QBF,MB3
5080,2.6.2,34,15.134.173.185,53,4,117.120.46.25,UDP,152680042,25079,1770096633,Tdig,117.120.46.25,dns,152680041,1770096635,14.402,69,tu+AgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,46831,0,1,1,1,FALCON512,QBF,MB3
5080,2.6.2,43,15.134.173.185,53,4,10.123.4.21,UDP,152680042,60764,1770096633,Tdig,157.211.20.241,dns,152680041,1770096635,18.617,69,FN+AgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,5343,0,1,1,1,FALCON512,QBF,MB3
